lang,iso639_3,name
ab,abk,Abkhazian
abb,abb,Bankon
ady,ady,Adyghe
af,afr,Afrikaans
ajg,ajg,Aja (Benin)
aln,aln,Gheg Albanian
am,amh,Amharic
an,arg,Aragonese
ar,ara,Arabic
as,asm,Assamese
ast,ast,Asturian
az,aze,Azerbaijani
ba,bak,Bashkir
bag,bag,Tuki
bas,bas,Basaa
bax,bax,Bamun
bba,bba,Baatonum
bbj,bbj,Ghomala
bbl,bbl,Bats
bce,bce,Bamenyam
bci,bci,Baoulé
be,bel,Belarusian
beb,beb,Bebele
bew,bew,Betawi
bfd,bfd,Bafut
bft,bft,Balti
bg,bul,Bulgarian
bgp,bgp,Eastern Balochi
bkh,bkh,Bakoko
bkm,bkm,Kom
bn,ben,Bangla
bnm,bnm,Batanga
bnn,bnn,Bunun
br,bre,Breton
brh,brh,Brahui
bri,bri,Mokpwe
bsh,bsh,Kati
bsk,bsk,Burushaski
btv,btv,Bateri
bum,bum,Bulu
bxk,bxk,Bukusu
byv,byv,Medumba
ca,cat,Catalan
cgg,cgg,Chiga
cjk,cjk,Chokwe
ckb,ckb,Central Kurdish
cnh,cnh,Hakha Chin
cpy,cpy,South Ucayali Ashéninka
cs,ces,Czech
cut,cut,Teutila Cuicatec
cux,cux,Tepeuxila Cuicatec
cv,chv,Chuvash
cy,cym,Welsh
da,dan,Danish
dag,dag,Dagbani
dar,dar,Dargwa
dav,dav,Taita
de,deu,German
dmk,dmk,Domaaki
dml,dml,Dameli
dru,dru,Rukai
dua,dua,Duala
dv,div,Divehi
dyu,dyu,Dyula
ebr,ebr,Ebrié
eko,eko,Koti
el,ell,Greek
el-CY,ell,Greek
en,eng,English
eo,epo,Esperanto
es,spa,Spanish
esu,esu,Central Yupik
et,est,Estonian
eto,eto,Eton (Cameroon)
eu,eus,Basque
ewo,ewo,Ewondo
fa,fas,Persian
fan,fan,Fang
fi,fin,Finnish
fmp,fmp,Fe'fe'
fr,fra,French
fub,fub,Adamawa Fulfulde
fue,fue,Borgu Fulfulde
fy-NL,fry,Western Frisian
ga-IE,gle,Irish
gej,gej,Gen
ggg,ggg,Gurgula
gid,gid,Gidar
gig,gig,Goaria
giz,giz,South Giziga
gjk,gjk,Kachi Koli
gju,gju,Gujari
gl,glg,Galician
gn,grn,Guarani
gv,glv,Manx
gwc,gwc,Gawri
gwt,gwt,Gawar-Bati
gya,gya,Northwest Gbaya
ha,hau,Hausa
haz,haz,Hazaragi
hch,hch,Huichol
he,heb,Hebrew
hem,hem,Hemba
hi,hin,Hindi
hno,hno,Northern Hindko
hsb,hsb,Upper Sorbian
ht,hat,Haitian Creole
hu,hun,Hungarian
hux,hux,Nüpode Huitoto
hy-AM,hye,Armenian
ia,ina,Interlingua
ibb,ibb,Ibibio
id,ind,Indonesian
ig,ibo,Igbo
ipk,ipk,Inupiaq
is,isl,Icelandic
it,ita,Italian
ja,jpn,Japanese
jgo,jgo,Ngomba
jqr,jqr,Jaqaru
ka,kat,Georgian
kab,kab,Kabyle
kbd,kbd,Kabardian
kcn,kcn,Nubi
kdh,kdh,Tem
khw,khw,Khowar
kk,kaz,Kazakh
kln,kln,Kalenjin
kls,kls,Kalasha
kmr,kmr,Northern Kurdish
ko,kor,Korean
koo,koo,Konzo
ksf,ksf,Bafia
kvx,kvx,Parkari Koli
kw,cor,Cornish
kxp,kxp,Wadiyara Koli
ky,kir,Kyrgyz
led,led,Lendu
lg,lug,Ganda
lij,lij,Ligurian
lke,lke,Kenyi
lo,lao,Lao
lrk,lrk,Loarki
lss,lss,Lasi
lt,lit,Lithuanian
ltg,ltg,Latgalian
lth,lth,Thur
lua,lua,Luba-Lulua
luo,luo,Luo (Kenya and Tanzania)
lv,lav,Latvian
mau,mau,Huautla Mazatec
mbo,mbo,Mbo (Cameroon)
mcf,mcf,Matsés
mcn,mcn,Masana
mcx,mcx,Mpiemo
mdd,mdd,Mbum
mdf,mdf,Moksha
meh,meh,Southwestern Tlaxiaco Mixtec
mgg,mgg,Mpumpong
mhk,mhk,Mungaka
mhr,mhr,Eastern Mari
mk,mkd,Macedonian
mki,mki,Dhatki
ml,mal,Malayalam
mmc,mmc,Michoacán Mazahua
mn,mon,Mongolian
mr,mar,Marathi
mrj,mrj,Western Mari
ms,msa,Malay
mse,mse,Musey
mt,mlt,Maltese
mua,mua,Mundang
mug,mug,Musgu
mve,mve,Marwari (Pakistan)
mvy,mvy,Indus Kohistani
mxu,mxu,Mada (Cameroon)
myv,myv,Erzya
nan-tw,nan,Min Nan Chinese
nb-NO,nob,Norwegian Bokmål
ncx,ncx,Central Puebla Nahuatl
ne-NP,nep,Nepali
nhi,nhi,Zacatlán-Ahuacatlán-Tepetzintla Nahuatl
nl,nld,Dutch
nla,nla,Ngombale
nlv,nlv,Orizaba Nahuatl
nmg,nmg,Kwasio
nmz,nmz,Nawdm
nn-NO,nno,Norwegian Nynorsk
nnh,nnh,Ngiemboon
nr,nbl,South Ndebele
nso,nso,Northern Sotho
nyu,nyu,Nyungwe
oc,oci,Occitan
odk,odk,Od
or,ori,Odia
oru,oru,Ormuri
os,oss,Ossetic
pa-IN,pan,Punjabi
pcm,pcm,Nigerian Pidgin
phl,phl,Phalura
phr,phr,Pahari-Potwari
pl,pol,Polish
plk,plk,Kohistani Shina
pne,pne,Western Penan
prq,prq,Ashéninka Perené
ps,pus,Pashto
pt,por,Portuguese
pua,pua,Western Highland Purepecha
pwn,pwn,Paiwan
qup,qup,Southern Pastaza Quechua
qur,qur,Yanahuanca Pasco Quechua
qus,qus,Santiago del Estero Quichua
qux,qux,Yauyos Quechua
quy,quy,Ayacucho Quechua
qva,qva,Ambo-Pasco Quechua
qvi,qvi,Imbabura Highland Quichua
qvj,qvj,Loja Highland Quichua
qvl,qvl,Cajatambo North Lima Quechua
qwa,qwa,Corongo Ancash Quechua
qws,qws,Sihuas Ancash Quechua
qxa,qxa,Chiquián Ancash Quechua
qxp,qxp,Puno Quechua
qxt,qxt,Santa Ana de Tusi Pasco Quechua
qxu,qxu,Arequipa-La Unión Quechua
qxw,qxw,Jauja Wanca Quechua
rm-sursilv,roh,Romansh
rm-vallader,roh,Romansh
ro,ron,Romanian
rof,rof,Rombo
ru,rus,Russian
ruc,ruc,Ruuli
rup,rup,Aromanian
rw,kin,Kinyarwanda
rwm,rwm,Amba (Uganda)
sah,sah,Yakut
sat,sat,Santali
sbn,sbn,Sindhi Bhil
sc,srd,Sardinian
scl,scl,Shina
sco,sco,Scots
sd,snd,Sindhi
sei,sei,Seri
sk,slk,Slovak
skr,skr,Saraiki
sl,slv,Slovenian
sq,sqi,Albanian
sr,srp,Serbian
ss,ssw,Swati
ssi,ssi,Sansi
st,sot,Southern Sotho
sv-SE,swe,Swedish
sva,sva,Svan
sw,swa,Swahili
szy,szy,Sakizaya
ta,tam,Tamil
tar,tar,Central Tarahumara
tay,tay,Atayal
te,tel,Telugu
tg,tgk,Tajik
th,tha,Thai
ti,tir,Tigrinya
tig,tig,Tigre
tk,tuk,Turkmen
tli,tli,Tlingit
tn,tsn,Tswana
tob,tob,Toba
tok,tok,Toki Pona
top,top,Papantla Totonac
tr,tur,Turkish
trv,trv,Taroko
trw,trw,Torwali
ts,tso,Tsonga
tt,tat,Tatar
ttj,ttj,Tooro
tui,tui,Tupuri
tvu,tvu,Tunen
tw,twi,Twi
udl,udl,Wuzlam
ug,uig,Uyghur
uk,ukr,Ukrainian
ukv,ukv,Kuku
ur,urd,Urdu
ush,ush,Ushojo
uz,uzb,Uzbek
var,var,Huarijio
ve,ven,Venda
vi,vie,Vietnamese
vot,vot,Votic
wbl,wbl,Wakhi
wes,wes,Cameroon Pidgin
xh,xho,Xhosa
xhe,xhe,Khetrani
xka,xka,Kalkoti
